Primary county,Sector represented ,Email preference,Posting permissions,Join year,Join month
Monterey,govt,email,allowed,2023,1
Santa Cruz,,email,allowed,2023,1
Santa Cruz,,email,allowed,2023,1
Monterey,organic farm incubator,email,allowed,2023,2
Monterey,"govt, small business association",email,allowed,2023,2
Monterey,farmers markets,email,allowed,2023,2
Monterey,Nonprofit,email,allowed,2023,2
Santa Barbara,govt,email,allowed,2023,2
Santa Barbara,Nonprofit,email,allowed,2023,2
Santa Barbara,Technical assistance,email,allowed,2023,2
San Benito,govt,email,allowed,2023,2
Santa Cruz,"technical assistance, women business advisor, nonprofit",email,allowed,2023,2
Santa Cruz,"organic farm, education",email,allowed,2023,2
Santa Cruz,"farming technical assistance, CDFI",email,allowed,2023,2
Santa Cruz,food bank,email,allowed,2023,2
Santa Cruz,"technical assistance, nonprofit ",email,allowed,2023,2
Ventura,nonprofit,email,allowed,2023,2
San Luis Obispo,,email,allowed,2023,2
Santa Barbara,Fisherfolk/Nonprofit,email,allowed,2023,3
Santa Barbara,Nonprofit,email,allowed,2023,3
Santa Cruz,"commercial kitchen, technical assistance, nonprofit, co-packing",email,allowed,2023,3
Santa Cruz,"small farm, nonprofit, food hub",email,allowed,2023,3
San Luis Obispo,extension education,email,allowed,2023,3
Santa Cruz,,no email,allowed,2023,3
Santa Cruz,,email,allowed,2023,3
Ventura,"Nonprofit/regional food system infrastructure, food hub",email,allowed,2023,5
Ventura,Nonprofit,email,allowed,2023,5
Santa Barbara,Nonprofit,email,allowed,2023,5
Monterey,resort,email,allowed,2023,7
Santa Cruz,"fisherfolk, nonprofit",email,allowed,2023,7
Santa Cruz,fisherfolk,email,allowed,2023,8
Santa Cruz,,email,allowed,2023,8
Monterey,"senior meals, nonprofit, commercial kitchen",email,allowed,2023,9
Monterey,"senior meals, nonprofit, commercial kitchen",email,allowed,2023,9
Monterey,"farming technical assistance, nonprofit",email,allowed,2023,9
Monterey,"senior meals, nonprofit, commercial kitchen",email,allowed,2023,9
Monterey,food bank,email,allowed,2023,9
Monterey,"commercial kitchen, community organizer, nonprofit",email,allowed,2023,9
Santa Cruz,"farming technical assistance, nonprofit",email,allowed,2023,9
Santa Cruz,"farming & fishing technical assistance, CDFI",email,allowed,2023,9
San Luis Obispo,govt,email,allowed,2023,9
Santa Cruz,,email,allowed,2023,9
Monterey,culinary high school,email,allowed,2023,10
Monterey,nonprofit,email,allowed,2023,10
Monterey,aquaculture,email,allowed,2023,10
Monterey,emergency food provider,digest,allowed,2023,10
Monterey,community supported seafood ,email,allowed,2023,10
Monterey,small farm,email,allowed,2023,10
Monterey,resource conservation district,email,allowed,2023,10
Monterey,"community garden, education",email,allowed,2023,10
Monterey,aquaculture,email,allowed,2023,10
Monterey,"restaurant, retailer",email,allowed,2023,10
Monterey,"restaurant, investor",email,allowed,2023,10
Monterey,resource conservation district,digest,allowed,2023,10
San Benito,produce distributor,email,allowed,2023,10
San Benito,"high school, caterer",email,allowed,2023,10
Santa Cruz,nonprofit,email,allowed,2023,10
Santa Cruz,"organic farming advocate, nonprofit",email,allowed,2023,10
Santa Cruz,small farm,email,allowed,2023,10
Santa Cruz,nonprofit,email,allowed,2023,10
Santa Cruz,"community supported agriculture, nonprifit",email,allowed,2023,10
San Luis Obispo,"education, calfresh",email,allowed,2023,10
Monterey,,email,allowed,2023,10
Santa Cruz,Nonprofit/Technical assistance ,email,allowed,2023,10
Monterey,fisherfolk,email,allowed,2023,10
Monterey,fisherfolk,email,allowed,2023,12
Monterey,seafood processor,email,allowed,2023,12
Monterey,tribe nonprofit ,email,allowed,2023,12
San Benito,"cattle ranch, consultant",email,allowed,2023,12
Santa Cruz,farmworker advocate/nonprofit,email,allowed,2023,12
Santa Cruz,nonprofit/technical assist.,email,allowed,2023,12
Santa Cruz,"farming technical assistance, CDFI",email,allowed,2023,12
Ventura,farming association,email,allowed,2023,12
Santa Barbara,"Nonprofit, fisherfolk",email,allowed,2024,1
Monterey,nonprofit,email,allowed,2024,3
Monterey,"regenerative agriculture technical assistance, nonprofit",email,allowed,2024,3
Monterey,labor union,email,allowed,2024,3
Santa Cruz,community member,email,allowed,2024,3
Santa Cruz,food policy council,email,allowed,2024,3
Santa Cruz,"farming technical assistance, nonprofit",email,allowed,2024,3
Santa Cruz,,email,allowed,2024,3
Ventura,fisherfolk ,email,allowed,2024,3
Monterey,,email,allowed,2024,3
Monterey,,email,allowed,2024,4
Monterey,labor union,email,allowed,2024,4
Monterey,"farmworker advocate, nonprofit",email,allowed,2024,4
Santa Barbara,Business/technical assistance,email,allowed,2024,4
Ventura,,email,allowed,2024,4
Santa Cruz,consultancy,email,allowed,2024,5
Monterey,labor union,email,allowed,2024,6
Santa Barbara,Fisherfolk,email,allowed,2024,6
Monterey,small farm,email,allowed,2024,8
Monterey,school food,email,allowed,2024,8
Santa Cruz,nonprofit,email,allowed,2024,8
Santa Cruz,"farming & fishing technical assistance, CDFI",email,allowed,2024,8
San Luis Obispo,"farming technical assistance, nonprofit",email,allowed,2024,8
San Luis Obispo,"winery, regenerative ag",email,allowed,2024,8
Ventura,"technical assistance, nonprofit",email,allowed,2024,8
Ventura,Nonprofit,email,allowed,2024,8
Ventura,Business/technical assistance,email,allowed,2024,8
Santa Barbara,restaurant,email,allowed,2024,9
Monterey,"cafe, food writer",email,allowed,2024,10
Monterey,restaurant,email,allowed,2024,10
Monterey,real estate developer,email,allowed,2024,10
Santa Cruz,"farming & fishing technical assistance, CDFI ",email,allowed,2024,10
Santa Cruz,farmers market,email,allowed,2024,10
Ventura,"Nonprofit/Regional food system infrastructure, food hub",email,allowed,2024,10
Santa Barbara,"Nonprofit/regional food system infrastructure, farmers market",email,allowed,2024,12
Santa Cruz,govt,email,allowed,2024,12
Santa Cruz,govt,email,allowed,2024,12
Santa Cruz,"farming technical assistance, nonprofit",email,allowed,2024,12
Santa Cruz,"farming technical assistance, CDFI",email,allowed,2024,12
Santa Cruz,"farming technical assistance, CDFI",email,allowed,2024,12
Santa Cruz,small farm,email,allowed,2024,12
Monterey,health education consultancy,email,allowed,2025,1
Monterey,health education consultancy,email,allowed,2025,1
Monterey,nonprofit,email,allowed,2025,1
San Benito,"small organic farm, latina farmers association",email,allowed,2025,1
San Luis Obispo,"Nonprofit/regional food system infrastructure, food hub ",email,allowed,2025,1
Santa Cruz,regenerative ag advocate,email,allowed,2025,1
San Luis Obispo,,email,allowed,2025,1
Santa Cruz,,email,allowed,2025,1
Monterey,cafe/nonprofit,email,allowed,2025,2
Monterey,community college,email,allowed,2025,2
Monterey,research institute,email,allowed,2025,2
Santa Cruz,"technical assistance, nonprofit",email,allowed,2025,2
Ventura,Technical assistance/Farmer,email,allowed,2025,2
Monterey,"restaurant, co-packer",email,allowed,2025,3
Monterey,"small farm, food hub",email,allowed,2025,3
Santa Barbara,nonprofit/fisherfolk,email,allowed,2025,3
Santa Barbara,aquaculture,email,allowed,2025,3
Santa Cruz,farmers markets,email,allowed,2025,3
Santa Cruz,"technical assistance, nonprofit",email,allowed,2025,3
San Luis Obispo,tribal nonprofit,email,allowed,2025,3
San Luis Obispo,aquaculture,email,allowed,2025,3
San Luis Obispo,research institute ,email,allowed,2025,3
San Luis Obispo,aquaculture,email,allowed,2025,3
San Luis Obispo,aquaculture,email,allowed,2025,3
Santa Cruz,technical assistance nonprofit,email,allowed,2025,3
Monterey,organic farm incubator,email,allowed,2025,5
Santa Barbara,government ,email,not allowed,2025,5
Santa Barbara,government,email,allowed,2025,5
Monterey,sausage producer,email,allowed,2025,6
Monterey,mushroom farm,email,allowed,2025,6
Monterey,"stem education, nonprofit",email,allowed,2025,6
Monterey,"farming technical assistance, nonprofit",email,allowed,2025,6
Monterey,"stem education, nonprofit",email,allowed,2025,6
Santa Barbara,Fisherfolk,email,allowed,2025,6
Santa Cruz,"co-packer, gleaner",email,allowed,2025,6
San Luis Obispo,"grocer, food hub",email,allowed,2025,6
San Luis Obispo,"Technical assistance, extension education",email,allowed,2025,6
San Luis Obispo,food bank,email,allowed,2025,6
Monterey,"farming technical assistance, nonprofit",email,allowed,2025,6
